Date,County,daily.death.count,population.2018,patients.hospitalized,patients.on.ventilators,airborn.isolation.beds,adult.ICU.beds,new.cases,month,region
2020-06-01,Berks,5,420152,41,6,32.9,26.4,34,06,southeast
2020-06-02,Berks,0,420152,36,5,30.5,24.5,23,06,southeast
2020-06-03,Berks,2,420152,34,5,25.6,24.1,21,06,southeast
2020-06-04,Berks,1,420152,30,6,25.6,33.9,15,06,southeast
2020-06-05,Berks,0,420152,30,6,23.2,32.8,23,06,southeast
2020-06-06,Berks,2,420152,29,7,22,28.8,11,06,southeast
2020-06-07,Berks,0,420152,29,6,25.6,31.6,15,06,southeast
2020-06-08,Berks,2,420152,24,9,30.5,24.6,13,06,southeast
2020-06-09,Berks,0,420152,22,5,30.5,20,18,06,southeast
2020-06-10,Berks,0,420152,23,5,29.3,25.5,13,06,southeast
2020-06-11,Berks,1,420152,20,5,22,20.3,18,06,southeast
2020-06-12,Berks,1,420152,22,5,20.7,11.9,19,06,southeast
2020-06-13,Berks,2,420152,22,5,24.4,16.9,12,06,southeast
2020-06-14,Berks,0,420152,22,5,26.8,23.7,7,06,southeast
2020-06-15,Berks,1,420152,23,6,29.3,15.8,15,06,southeast
2020-06-16,Berks,2,420152,20,6,23.2,3.6,7,06,southeast
2020-06-17,Berks,0,420152,20,6,24.4,16.9,14,06,southeast
2020-06-18,Berks,0,420152,19,5,30.5,29.1,15,06,southeast
2020-06-19,Berks,0,420152,21,5,24.4,25.4,14,06,southeast
2020-06-20,Berks,2,420152,24,6,26.8,27.1,19,06,southeast
2020-06-21,Berks,0,420152,23,6,29.3,28.8,14,06,southeast
2020-06-22,Berks,2,420152,23,6,25.6,26.3,30,06,southeast
2020-06-23,Berks,0,420152,19,6,23.2,21.8,7,06,southeast
2020-06-24,Berks,2,420152,19,6,29.3,26.2,8,06,southeast
2020-06-25,Berks,0,420152,18,6,28,29.5,14,06,southeast
2020-06-26,Berks,0,420152,16,6,22,22,13,06,southeast
2020-06-27,Berks,0,420152,19,3,28,35.6,12,06,southeast
2020-06-28,Berks,0,420152,19,3,31.7,50.9,24,06,southeast
2020-06-29,Berks,1,420152,18,3,34.1,47.2,7,06,southeast
2020-06-30,Berks,0,420152,16,5,32.9,21.3,27,06,southeast
2020-07-01,Berks,2,420152,16,5,31.7,44.3,6,07,southeast
2020-07-02,Berks,1,420152,14,4,32.9,23,6,07,southeast
2020-07-03,Berks,0,420152,14,3,31.7,39,4,07,southeast
2020-07-04,Berks,0,420152,16,4,30.5,45.8,8,07,southeast
2020-07-05,Berks,2,420152,16,4,29.3,34.5,4,07,southeast
2020-07-06,Berks,0,420152,16,4,32.9,30.2,24,07,southeast
2020-07-07,Berks,0,420152,16,4,30.5,39.3,19,07,southeast
2020-07-08,Berks,0,420152,15,4,32.9,42.6,21,07,southeast
2020-07-09,Berks,1,420152,15,4,26.8,26.2,16,07,southeast
2020-07-10,Berks,0,420152,11,1,30.5,28.8,18,07,southeast
2020-07-11,Berks,0,420152,11,1,29.3,29.8,8,07,southeast
2020-07-12,Berks,0,420152,11,1,30.5,35.8,9,07,southeast
2020-07-13,Berks,1,420152,11,1,32.9,34,16,07,southeast
2020-07-14,Berks,0,420152,9,1,36.6,41,26,07,southeast
2020-07-15,Berks,0,420152,11,0,36.6,41,19,07,southeast
2020-07-16,Berks,0,420152,6,0,29.3,36.1,22,07,southeast
2020-07-17,Berks,1,420152,12,0,23.2,18.6,19,07,southeast
2020-07-18,Berks,1,420152,12,0,26.8,27.3,23,07,southeast
2020-07-19,Berks,0,420152,11,0,26.8,18.9,26,07,southeast
2020-07-20,Berks,1,420152,12,0,29.3,26.4,21,07,southeast
2020-07-21,Berks,0,420152,13,0,28,17.3,21,07,southeast
2020-07-22,Berks,0,420152,12,0,25.6,12.1,33,07,southeast
2020-07-23,Berks,1,420152,16,1,25.6,13.8,55,07,southeast
2020-07-24,Berks,0,420152,14,3,30.5,20.3,33,07,southeast
2020-07-25,Berks,0,420152,15,3,31.7,32.7,15,07,southeast
2020-07-26,Berks,0,420152,15,3,29.3,22.6,21,07,southeast
2020-07-27,Berks,0,420152,17,3,30.5,25,34,07,southeast
2020-07-28,Berks,2,420152,16,2,26.8,10.3,20,07,southeast
2020-07-29,Berks,0,420152,22,2,26.8,14.8,28,07,southeast
2020-07-31,Berks,0,420152,26,1,34.1,42.4,14,07,southeast
2020-08-01,Berks,2,420152,22,2,31.7,36.4,20,08,southeast
2020-08-02,Berks,2,420152,23,2,35.4,41.1,30,08,southeast
2020-08-03,Berks,1,420152,22,2,34.1,35.7,29,08,southeast
2020-08-04,Berks,0,420152,25,3,30.5,34.5,24,08,southeast
2020-08-05,Berks,0,420152,21,3,29.3,37.7,28,08,southeast
2020-08-06,Berks,0,420152,22,5,26.8,13.1,22,08,southeast
2020-08-07,Berks,2,420152,20,5,26.8,23.7,29,08,southeast
2020-08-08,Berks,0,420152,21,6,23.2,21.8,31,08,southeast
2020-08-09,Berks,1,420152,22,6,26.8,3.6,25,08,southeast
2020-08-10,Berks,1,420152,23,6,25.6,25,27,08,southeast
2020-08-11,Berks,1,420152,25,4,29.3,20.7,31,08,southeast
2020-08-12,Berks,0,420152,21,4,25.6,19.7,26,08,southeast
2020-08-13,Berks,0,420152,22,6,26.8,31.1,40,08,southeast
2020-08-14,Berks,0,420152,22,6,25.6,30.3,32,08,southeast
2020-08-15,Berks,0,420152,21,7,26.8,17,30,08,southeast
2020-08-16,Berks,0,420152,21,7,26.8,27.3,13,08,southeast
2020-08-17,Berks,0,420152,22,6,29.3,42.1,38,08,southeast
2020-08-18,Berks,1,420152,29,5,30.5,43.3,39,08,southeast
2020-08-19,Berks,0,420152,31,4,29.3,36.8,25,08,southeast
2020-08-20,Berks,1,420152,30,3,29.3,41.5,38,08,southeast
2020-08-21,Berks,0,420152,30,3,29.3,31.8,37,08,southeast
2020-08-22,Berks,0,420152,25,3,34.1,24.5,31,08,southeast
2020-08-23,Berks,1,420152,25,3,34.1,27.5,32,08,southeast
2020-08-24,Berks,1,420152,24,3,34.1,19.3,39,08,southeast
2020-08-25,Berks,1,420152,23,3,30.5,33.3,28,08,southeast
2020-08-26,Berks,0,420152,27,3,28,28.8,25,08,southeast
2020-08-27,Berks,1,420152,26,4,31.7,24.6,39,08,southeast
2020-08-28,Berks,0,420152,28,6,25.6,25.8,31,08,southeast
2020-08-29,Berks,0,420152,29,5,28,24.2,30,08,southeast
2020-08-30,Berks,1,420152,34,5,28,36.4,14,08,southeast
2020-08-31,Berks,1,420152,34,5,28,31.8,44,08,southeast
2020-09-01,Berks,1,420152,33,1,28,36.4,35,09,southeast
2020-09-02,Berks,1,420152,32,1,28,33.3,42,09,southeast
2020-09-03,Berks,0,420152,28,0,28,28.8,37,09,southeast
2020-09-04,Berks,0,420152,24,0,28,28.8,45,09,southeast
2020-09-05,Berks,0,420152,23,0,28,37.9,22,09,southeast
2020-09-06,Berks,1,420152,23,0,28,30.3,31,09,southeast
2020-09-07,Berks,1,420152,23,0,28,34.8,35,09,southeast
2020-09-08,Berks,0,420152,24,0,34.1,39.4,48,09,southeast
2020-09-09,Berks,0,420152,23,0,34.1,33.3,17,09,southeast
2020-09-10,Berks,0,420152,24,3,34.1,37.9,28,09,southeast
2020-09-11,Berks,0,420152,24,4,34.1,36.4,86,09,southeast
2020-09-12,Berks,0,420152,26,4,31.7,3.9,27,09,southeast
2020-09-13,Berks,1,420152,26,4,31.7,2,40,09,southeast
2020-09-14,Berks,0,420152,27,4,34.1,10.2,63,09,southeast
2020-09-15,Berks,1,420152,27,4,29.3,10.9,49,09,southeast
2020-09-16,Berks,0,420152,28,4,29.3,9.3,45,09,southeast
2020-09-17,Berks,0,420152,31,3,30.5,21.1,33,09,southeast
2020-09-18,Berks,0,420152,31,5,24.4,20.7,23,09,southeast
2020-09-19,Berks,0,420152,26,2,25.6,17.3,36,09,southeast
2020-09-20,Berks,1,420152,26,3,31.7,15.7,28,09,southeast
2020-09-21,Berks,0,420152,21,4,29.3,0,42,09,southeast
2020-09-22,Berks,2,420152,23,3,29.3,27.3,33,09,southeast
2020-09-23,Berks,0,420152,26,2,32.9,29.1,21,09,southeast
2020-09-24,Berks,0,420152,24,2,34.1,26.3,22,09,southeast
2020-09-25,Berks,3,420152,30,2,29.3,21.8,36,09,southeast
2020-09-26,Berks,0,420152,28,2,26.8,24.1,51,09,southeast
2020-09-27,Berks,1,420152,28,2,32.9,25.5,26,09,southeast
2020-09-28,Berks,0,420152,29,2,35.4,36.7,49,09,southeast
2020-09-29,Berks,0,420152,34,1,35.4,35.8,41,09,southeast
2020-09-30,Berks,1,420152,30,0,31.7,29.1,27,09,southeast
